city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,34,7,12,0.4,1,107,65,30
阿克苏地区,112,39,171,0.4,11,97,82,6
阿拉善盟,50,22,38,0.53,10,112,99,18
阿勒泰地区,19,11,18,0.3,28,49,30,8
阿里地区,53,36,0,0.4,5,81,54,6
安康,63,34,73,0.7,23,82,34,14
安庆,65,40,77,0.74,13,129,70,12
鞍山,42,15,41,0.5,19,87,56,17
安顺,39,27,33,0.65,18,60,55,21
安阳,139,106,122,0.94,31,130,52,19
白城,64,15,75,0.1,5,96,61,9
百色,31,14,30,0.7,13,36,23,13
白山,53,28,53,0.8,11,102,68,18
白银,53,36,21,0.5,31,69,68,11
保定,66,35,79,0.48,19,125,57,13
宝鸡,74,53,74,0.9,35,86,42,12
保山,50,13,44,0.55,4,116,98,5
包头,55,37,58,1.12,33,82,44,44
巴彦淖尔,52,26,51,0.57,12,82,46,12
巴中,50,35,48,0.53,30,39,33,4
北海,98,73,126,0.98,18,22,21,7
北京,87,64,99,0.68,40,90,37,8
蚌埠,106,79,133,0.68,25,131,66,23
本溪,29,12,28,1.18,15,87,49,15
毕节,25,11,18,0.5,20,64,49,8
滨州,43,23,42,0.7,26,115,80,16
博州,54,32,55,0.15,23,41,42,7
亳州,86,63,97,0.4,17,144,78,5
沧州,50,28,49,0.4,14,110,61,18
长春,60,21,67,0.51,12,92,63,4
常德,46,32,40,0.92,29,45,27,16
昌都,30,14,29,0.8,3,94,50,3
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,91,67,92,1.83,39,45,36,6
长沙,53,36,37,0.71,31,61,20,7
常熟,165,125,187,1.1,67,154,85,34
长治,73,50,93,0.98,27,143,60,15
常州,88,65,91,0.91,47,104,55,19
朝阳,41,17,40,0.8,8,101,65,9
潮州,55,38,58,0.63,9,153,94,11
承德,49,9,48,0.73,18,83,51,12
成都,52,34,51,0.63,34,65,42,4
郴州,45,28,44,0.88,25,29,29,6
赤峰,52,13,51,0.25,10,83,45,8
池州,64,43,76,0.63,25,133,69,12
重庆,58,40,64,0.74,45,44,24,10
崇左,20,14,0,0.8,14,25,22,2
楚雄州,42,18,40,0.6,5,118,83,11
滁州,89,66,114,0.57,27,117,65,16
大连,39,13,38,0.45,21,82,58,11
大理州,56,15,39,0.6,8,119,106,5
丹东,58,40,55,0.88,18,83,44,20
大庆,86,20,119,0.3,9,84,64,3
大同,57,32,61,0.54,16,93,50,27
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,33,7,13,0.45,8,100,65,14
达州,54,33,55,0.56,22,44,22,7
德宏州,71,34,89,0.85,14,110,39,11
德阳,66,47,62,0.47,19,82,34,4
德州,48,11,47,0.6,20,107,74,6
定西,51,26,50,0.8,26,68,54,5
迪庆州,49,21,31,0.5,7,107,96,5
东莞,64,41,76,0.64,34,160,79,10
东营,60,26,67,0.6,24,115,84,14
鄂尔多斯,35,9,31,0.46,8,103,69,8
恩施州,59,27,66,0.75,29,37,21,5
鄂州,68,41,83,0.67,27,113,50,19
防城港,15,10,12,0.87,21,24,22,4
佛山,74,42,96,0.75,42,129,66,12
抚顺,32,16,31,0.68,16,88,55,19
阜新,64,14,76,0.4,12,95,64,18
阜阳,66,41,79,0.53,27,123,74,5
富阳,88,65,107,0.6,14,54,35,4
福州,61,38,70,0.7,34,85,69,6
抚州,63,44,66,0.9,25,34,24,15
甘南州,56,11,36,0.4,17,113,105,17
赣州,47,30,46,1.04,22,48,42,3
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,27,11,18,0.3,10,62,52,16
广安,37,17,36,0.56,21,57,45,16
广元,38,23,37,0.57,38,27,31,9
广州,70,40,87,0.63,39,130,63,7
贵港,15,8,11,0.7,13,31,28,6
桂林,30,19,29,0.8,24,53,46,7
贵阳,48,27,47,0.52,22,72,54,17
果洛州,104,49,156,1.1,9,141,84,7
固原,59,26,66,0.6,20,120,50,11
哈尔滨,54,12,55,0.48,11,82,64,9
海北州,112,34,172,0.4,9,118,113,10
海东地区,59,40,66,0.6,20,67,66,17
海口,44,23,43,0.58,7,72,61,5
海门,87,64,100,0.7,23,117,70,15
海南州,130,45,208,0.5,4,121,121,10
海西州,138,30,223,0.2,20,105,92,6
哈密地区,198,59,344,1.1,8,96,72,3
邯郸,104,72,155,0.87,35,131,63,33
杭州,81,59,100,0.75,32,124,59,14
汉中,61,41,70,1.27,47,28,26,17
鹤壁,99,74,103,0.67,34,120,53,18
河池,24,8,23,0.67,17,35,35,6
合肥,65,46,62,0.52,22,141,56,8
鹤岗,42,11,24,0.3,4,93,83,6
黑河,43,8,28,0.47,6,100,84,13
衡水,54,23,56,0.47,17,110,59,10
衡阳,45,31,39,0.77,28,59,45,14
和田地区,128,32,204,0.45,16,74,45,17
河源,55,25,58,0.87,15,113,59,8
菏泽,104,55,156,0.85,19,119,72,16
贺州,40,28,36,0.5,20,28,30,6
红河州,80,58,81,0.7,7,126,92,13
淮安,65,31,78,0.34,19,118,86,6
淮北,78,57,93,0.6,12,121,84,12
怀化,56,39,56,0.52,7,87,34,5
淮南,79,53,106,0.55,19,129,77,15
黄冈,64,40,76,0.8,19,121,58,12
黄南州,111,49,169,0.7,8,103,97,9
黄山,50,25,49,0.43,12,112,59,7
黄石,76,45,100,0.92,39,101,41,16
呼和浩特,54,22,55,0.64,15,102,52,13
惠州,60,29,68,0.54,15,146,98,7
葫芦岛,55,14,58,0.55,22,72,54,13
呼伦贝尔,40,6,23,0.3,4,93,78,2
湖州,92,68,90,0.97,50,112,64,25
佳木斯,40,12,30,0.23,6,91,78,5
吉安,60,42,58,0.63,24,59,41,5
江门,63,34,74,0.55,16,131,78,5
江阴,130,98,147,0.9,41,180,79,24
胶南,0,0,0,0.0,0,0,0,0
胶州,0,0,0,0.0,0,0,0,0
焦作,74,51,95,0.72,20,132,92,14
嘉兴,72,52,81,0.7,34,160,73,14
嘉峪关,74,24,95,0.4,6,109,76,10
揭阳,58,31,63,0.63,15,159,100,10
吉林,38,11,28,0.44,7,101,74,5
即墨,0,0,0,0.0,0,0,0,0
济南,61,23,70,0.56,28,112,54,11
金昌,50,10,43,0.6,7,123,99,39
晋城,69,34,86,0.77,22,157,60,11
景德镇,44,21,43,0.42,10,91,53,5
荆门,69,49,72,0.76,26,52,32,8
荆州,57,30,62,0.73,28,55,33,11
金华,69,38,59,0.43,21,174,91,13
济宁,84,46,116,0.8,21,116,76,25
金坛,111,83,139,0.85,45,143,76,22
晋中,47,23,46,0.73,13,110,54,9
锦州,98,19,144,0.54,20,75,51,16
九江,65,39,77,0.43,25,81,56,15
酒泉,71,22,89,0.75,8,108,78,29
鸡西,35,14,30,0.37,7,85,68,3
句容,115,86,141,1.1,38,160,81,21
开封,69,49,74,0.7,13,142,77,11
喀什地区,172,102,291,0.7,34,95,51,7
克拉玛依,89,66,95,0.88,26,64,55,4
克州,148,50,244,0.2,20,99,80,6
库尔勒,184,87,316,0.63,12,124,50,7
昆明,39,26,38,0.64,13,108,75,9
昆山,99,74,130,1.1,31,176,55,19
来宾,32,14,31,0.85,20,34,39,6
莱芜,88,65,99,0.67,18,89,77,10
莱西,0,0,0,0.0,0,0,0,0
莱州,35,11,34,0.8,11,108,68,11
廊坊,68,45,84,0.78,20,130,52,12
兰州,58,31,64,0.83,29,93,68,17
拉萨,45,9,25,0.48,9,112,88,2
乐山,37,24,36,0.48,13,107,51,4
凉山州,37,20,36,0.72,12,112,70,14
连云港,50,20,49,0.72,23,102,87,12
聊城,85,41,117,0.6,22,130,68,25
辽阳,54,24,55,1.08,24,74,45,24
辽源,29,13,27,0.6,5,86,57,5
丽江,44,7,38,0.67,9,99,87,6
临安,71,51,86,0.9,21,102,64,13
临沧,69,49,63,0.7,4,129,77,12
临汾,63,39,74,1.19,25,116,52,45
临夏州,43,8,16,0.5,11,119,85,11
临沂,70,32,87,0.33,20,114,70,7
林芝,41,12,0,0.0,5,102,80,3
林芝地区,18,4,16,0.35,6,51,35,3
丽水,56,29,59,0.6,13,137,82,10
六盘水,53,30,53,0.66,30,38,37,19
柳州,29,20,26,0.77,21,26,25,13
溧阳,106,72,159,1.4,24,179,82,28
陇南,42,11,17,0.4,9,94,82,5
龙岩,54,36,55,0.68,21,77,58,16
娄底,60,41,67,0.54,17,56,30,6
六安,67,43,81,0.53,23,84,49,9
漯河,71,38,90,0.45,10,125,66,9
洛阳,120,90,144,0.66,40,103,43,17
泸州,85,62,85,0.68,32,41,19,16
吕梁,44,22,43,0.8,21,91,43,16
马鞍山,74,53,91,0.84,36,116,53,22
茂名,65,32,77,0.5,8,108,99,3
眉山,53,36,52,0.55,29,76,28,5
梅州,56,29,60,0.7,16,137,68,9
绵阳,43,28,42,0.53,34,67,36,3
牡丹江,54,23,55,0.44,11,101,68,3
南昌,65,43,78,0.74,35,53,26,9
南充,44,30,43,0.52,16,74,52,4
南京,71,43,90,0.78,40,132,60,22
南宁,20,11,19,0.89,32,11,15,7
南平,53,36,46,0.75,22,51,53,5
南通,154,117,157,0.9,36,171,84,20
南阳,46,28,45,0.72,18,113,67,5
那曲地区,29,14,21,0.47,5,81,56,4
内江,49,34,40,0.48,25,86,46,10
宁波,127,96,149,0.79,37,191,94,17
宁德,64,37,76,0.77,28,89,49,8
怒江州,46,12,30,0.85,6,104,91,8
盘锦,37,5,36,0.53,10,92,61,8
攀枝花,48,26,47,0.82,15,114,60,16
蓬莱,51,22,50,0.5,22,111,82,11
平顶山,58,40,48,0.57,19,122,71,15
平度,0,0,0,0.0,0,0,0,0
平凉,45,22,44,0.4,21,83,49,11
萍乡,64,45,60,0.88,24,41,21,11
普洱,76,55,64,0.65,13,137,84,6
莆田,58,38,61,0.68,27,125,108,8
濮阳,105,78,130,1.35,25,134,69,16
黔东南州,33,20,32,0.45,23,78,52,10
黔南州,32,22,0,0.1,12,61,39,12
黔西南州,14,4,12,0.1,8,36,26,2
青岛,55,25,58,0.61,32,84,54,7
庆阳,53,36,52,0.47,15,114,84,7
清远,60,41,67,0.7,34,58,32,17
秦皇岛,51,22,50,0.58,35,89,48,14
钦州,13,9,12,0.87,15,33,23,9
齐齐哈尔,74,16,96,0.86,12,80,62,14
七台河,56,17,60,0.43,8,100,86,13
泉州,56,28,43,0.43,20,127,106,10
曲靖,47,23,46,0.55,9,119,57,12
衢州,69,49,76,0.53,17,119,60,10
日喀则,35,7,29,0.5,6,92,69,8
日喀则地区,29,6,27,0.35,2,68,56,5
日照,44,22,43,0.23,9,103,81,4
荣成,48,20,47,0.75,25,94,86,9
乳山,47,8,46,0.55,13,117,71,6
三门峡,74,53,90,0.78,22,128,64,16
三明,50,29,49,0.6,24,44,32,6
三沙,30,7,20,0.3,30,51,58,6
三亚,50,21,42,0.55,3,100,99,2
上海,120,90,102,0.96,55,164,79,18
商洛,56,29,60,0.55,21,113,62,23
商丘,228,177,194,1.36,42,70,39,13
上饶,48,20,47,0.35,11,104,58,13
山南,38,21,37,0.45,4,100,72,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,67,22,48,0.52,14,143,119,8
汕尾,61,33,56,0.63,10,148,111,9
韶关,60,42,57,0.84,22,53,45,13
绍兴,103,57,153,0.67,28,158,94,15
邵阳,61,43,48,0.92,25,55,50,11
沈阳,49,25,48,0.71,17,93,52,16
深圳,57,32,62,0.61,15,118,102,5
石河子,156,118,195,1.95,39,21,11,15
石家庄,75,49,98,0.56,20,111,56,13
十堰,60,35,68,0.73,22,96,57,15
石嘴山,57,27,62,1.0,27,67,41,27
寿光,59,24,66,0.65,13,116,71,10
双鸭山,43,18,42,0.38,7,99,85,4
朔州,48,11,47,0.4,5,105,47,5
四平,52,24,51,0.4,11,90,60,4
松原,90,35,127,0.5,4,88,77,5
绥化,38,9,37,0.3,5,54,48,4
遂宁,39,27,38,0.5,20,67,43,9
随州,56,32,60,0.7,9,128,63,11
宿迁,58,37,63,0.66,19,105,72,12
苏州,80,58,81,0.6,38,148,68,13
宿州,89,58,125,0.53,10,114,68,9
塔城地区,56,27,60,1.5,6,45,28,6
泰安,74,41,96,0.53,14,122,78,31
太仓,153,116,156,0.95,51,173,90,27
太原,60,22,67,0.61,20,96,48,12
台州,83,61,82,0.53,26,156,95,9
泰州,127,96,149,0.85,22,168,84,12
唐山,68,42,83,0.87,33,109,43,19
天津,69,49,72,1.01,34,104,53,24
天水,31,18,30,0.53,23,75,50,10
铁岭,45,21,44,0.23,18,88,50,11
铜川,59,36,66,0.68,25,104,75,22
通化,39,20,38,0.5,10,73,44,4
通辽,44,8,43,0.4,8,90,66,9
铜陵,74,53,83,0.95,39,91,54,19
铜仁地区,33,7,21,0.55,10,102,37,4
吐鲁番地区,83,32,114,0.85,18,96,76,9
瓦房店,35,11,34,0.35,12,99,59,12
潍坊,64,28,75,0.44,18,106,73,7
威海,44,18,43,0.3,16,89,61,3
渭南,92,53,131,1.0,29,106,45,23
文登,42,13,39,0.7,12,123,82,7
文山州,48,33,47,1.1,10,75,54,8
温州,82,59,111,0.83,58,98,56,15
乌海,55,23,57,0.73,23,84,46,37
武汉,70,50,79,1.16,53,85,39,20
芜湖,65,46,70,0.7,20,137,66,14
吴江,107,55,91,0.8,23,212,94,17
五家渠,211,160,221,4.0,29,20,9,41
乌兰察布,34,16,29,0.4,7,105,38,17
乌鲁木齐,130,98,148,2.67,62,38,29,6
武威,53,25,53,0.35,8,116,73,4
无锡,81,57,110,0.91,36,153,78,17
吴忠,153,116,187,1.47,64,22,20,117
梧州,59,38,66,1.05,22,19,14,17
厦门,60,36,67,0.47,25,131,105,7
西安,82,60,103,0.9,52,82,33,18
湘潭,58,40,56,1.02,28,59,18,14
湘西州,57,36,61,0.8,20,69,24,12
襄阳,54,32,55,0.53,15,103,73,15
咸宁,58,36,64,0.73,20,94,43,15
咸阳,76,55,96,1.08,37,91,48,22
孝感,60,32,67,0.85,26,105,56,6
锡林郭勒盟,54,4,55,0.0,3,81,70,22
兴安盟,54,14,55,0.67,9,79,59,8
邢台,97,72,124,0.83,37,107,59,30
西宁,64,45,73,1.43,30,98,83,14
新乡,87,64,120,1.0,37,112,60,24
信阳,47,26,46,0.38,7,141,90,7
新余,67,48,78,0.88,29,45,24,23
忻州,57,27,62,0.57,24,95,43,27
西双版纳州,199,149,186,1.15,21,151,59,8
宣城,61,42,69,0.55,23,122,84,10
许昌,57,38,62,0.77,14,121,79,10
徐州,79,45,105,0.47,20,113,72,11
雅安,29,20,24,0.38,13,84,46,6
延安,62,26,72,1.0,68,33,22,14
延边州,51,21,50,0.43,7,109,73,5
盐城,65,36,78,0.6,14,108,87,7
阳江,63,31,73,0.67,7,111,87,5
阳泉,56,36,60,0.7,20,103,47,16
扬州,110,82,129,0.63,34,118,65,13
烟台,59,22,66,0.34,24,91,55,6
宜宾,55,38,43,0.73,21,68,37,9
宜昌,88,65,111,0.92,53,22,15,20
宜春,56,38,60,0.56,20,56,32,9
伊春,36,7,30,0.33,7,89,71,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,70,36,88,0.67,14,78,47,8
银川,84,51,115,1.66,60,48,33,69
营口,28,8,23,0.2,10,88,49,3
鹰潭,48,25,47,0.28,15,59,21,14
义乌,70,50,79,0.45,23,167,80,12
宜兴,93,69,95,0.9,21,149,66,22
益阳,71,51,70,1.04,30,58,26,9
永州,49,34,45,0.58,28,47,44,6
岳阳,59,38,65,1.17,28,59,36,8
玉林,36,25,32,0.93,21,18,18,6
榆林,54,23,56,0.87,48,52,26,22
运城,70,46,87,0.78,16,134,66,14
云浮,60,33,67,0.77,32,86,41,10
玉树州,44,8,31,0.3,2,93,87,6
玉溪,39,24,38,0.53,8,117,74,6
枣庄,86,39,120,0.4,22,118,82,13
张家港,189,142,219,0.9,46,175,68,22
张家界,33,18,32,0.68,14,65,29,3
张家口,39,8,35,0.7,12,111,76,11
章丘,58,24,63,0.75,18,113,65,19
张掖,42,20,41,0.25,6,116,51,10
漳州,87,64,92,0.8,38,112,66,17
湛江,58,28,64,0.57,8,114,107,4
肇庆,72,50,91,0.7,54,86,35,22
昭通,39,17,38,0.75,13,99,71,8
招远,44,12,35,0.5,13,139,82,10
郑州,100,75,117,0.72,38,97,37,13
镇江,125,94,121,0.98,45,138,71,31
中山,59,29,65,0.57,22,115,83,5
中卫,54,26,56,0.6,17,98,35,11
周口,77,56,97,0.83,15,142,81,16
舟山,59,41,66,0.53,20,122,82,8
珠海,57,33,62,0.6,18,120,94,5
诸暨,100,60,72,0.6,21,199,94,11
驻马店,60,39,67,0.33,6,127,69,7
株洲,70,50,61,0.87,29,53,22,11
淄博,52,22,51,0.42,17,124,71,12
自贡,77,56,76,0.55,26,53,32,7
资阳,36,22,35,0.45,23,76,41,6
遵义,35,20,34,0.62,17,59,47,12
